Year,State,Number in Poverty,Percent in Poverty
2020',Virginia,769479,9
2020',Washington,714653,10
2020',West Virginia,274176,16
2020',Wisconsin,571049,10
2020',Wyoming,52418,9
2021',Alabama,800848,16
2021',Alaska,77736,11
2021',Arizona,919680,13
2021',Arkansas,471195,16
2021',California,4742405,12
2021',Colorado,554126,10
2021',Connecticut,355861,10
2021',Delaware,113026,12
2021',District of Columbia,107307,17
2021',Florida,2830813,13
2021',Georgia,1493837,14
2021',Hawaii,152656,11
2021',Idaho,202091,11
2021',Illinois,1493042,12
2021',Indiana,799733,12
2021',Iowa,340626,11
2021',Kansas,332457,12
2021',Kentucky,712023,16
2021',Louisiana,878477,20
2021',Maine,149571,11
2021',Maryland,620829,10
2021',Massachusetts,701700,10
2021',Michigan,1283086,13
2021',Minnesota,519437,9
2021',Mississippi,549710,19
2021',Missouri,765097,13
2021',Montana,129910,12
2021',Nebraska,201627,11
2021',Nevada,433095,14
2021',New Hampshire,99562,7
2021',New Jersey,925852,10
2021',New Mexico,367050,18
2021',New York,2703053,14
2021',North Carolina,1383626,14
2021',North Dakota,82270,11
2021',Ohio,1523366,13
2021',Oklahoma,599003,15
2021',Oregon,507504,12
2021',Pennsylvania,1503929,12
2021',Rhode Island,126971,12
2021',South Carolina,736098,15
2021',South Dakota,103337,12
2021',Tennessee,934856,14
2021',Texas,4122799,14
2021',Utah,286086,9
2021',Vermont,63208,10
2021',Virginia,862792,10
2021',Washington,755589,10
2021',West Virginia,291051,17
2021',Wisconsin,622948,11
2021',Wyoming,60226,11
